amfi_code,annualised_return
100016,0.025412479010476385
100025,0.04294835392229013
100033,0.28899383639194753
101206,0.22604787284801353
101207,0.0764325841063791
101208,0.06268273663284374
102885,0.1752390203326386
102886,0.011294595778248206
102887,0.1619032513637435
118632,0.2309381587265964
118633,0.15646763057250257
118634,0.1574193994483808
118635,0.15342786568777478
118636,0.05121284370964907
119092,0.061326014690687325
119093,0.07603638678360292
119094,0.27075969436674074
119095,0.014665053142173035
119120,0.05672188795478994
119551,0.24772561617939615
119552,0.20677048374275997
119598,0.3109566423737371
119599,0.01980032242102303
120503,0.18053766771896318
120504,0.22372037579730364
120505,0.3148111531940363
120506,0.16424007349244563
120507,0.06968969623013876
120841,0.1301630074688005
120842,0.06453456071586072
120843,0.2964834751553347
120844,0.06659029175819242
125497,0.1827650594875756
125498,0.10874958686292668
148567,0.2971198969602076
148568,0.21627249243585323
148569,0.30643215145962355
149322,0.12882957123240368
149323,0.2838164635295861
149324,0.3096576580257806
