amfi_code,alpha,beta,r_squared
100016,0.0376331084013759,-3.39764526772833e-06,3.5800231301807554e-06
100025,0.04478509214363225,-3.3749533619465547e-06,4.902095754808561e-05
100033,0.26493729496255053,1.1981215992324179e-05,2.6274503594171707e-05
101206,0.2083062249422226,1.0623247809801716e-05,3.490147263818126e-05
101207,0.10977962063227382,-4.979941920574537e-06,2.4459273464238875e-06
101208,0.0611829073164335,-6.164144554289095e-07,9.719710053461341e-05
102885,0.1531783388254661,2.8503942564536277e-05,0.0003236310278489024
102886,0.03189870881737732,-7.298337386952219e-06,1.0631082554056209e-05
102887,0.14798756592735834,2.495283403750583e-05,0.0001645737043198854
118632,0.21707468841436403,1.3746271374036982e-06,6.195830341837126e-07
118633,0.15938656255520184,-7.204222269109308e-06,1.7387370774985138e-05
118634,0.1784164284907739,-6.148273090798209e-07,3.894207533744297e-08
118635,0.15233840046784355,-1.9453376917663406e-06,1.4735741278485106e-06
118636,0.049636146462975664,1.912046380352448e-06,1.5106549907339832e-05
119092,0.07275298126765663,-6.033113935239806e-06,1.2275455580384971e-05
119093,0.07604714908157263,1.20582770049897e-05,4.880849946550203e-05
119094,0.2546707841601633,6.642047483522721e-06,7.688189407986255e-06
119095,0.0679290310971783,-3.78274620336726e-05,0.00014947503464320181
119120,0.05665433933271099,-1.1765256522385691e-06,5.773067773408699e-06
119551,0.22197387450728107,1.5275634490203648e-05,8.111015564877753e-05
119552,0.19169560849211748,1.0378522116621777e-05,3.6385367902031076e-05
119598,0.2949199731145985,1.2909314977047399e-05,1.7306070471560943e-05
119599,0.05142019237358777,-1.2481422885293552e-06,1.6425823853778345e-07
120503,0.17466107551407056,1.7221704977598894e-06,1.009806409681744e-06
120504,0.20278032337002902,1.634467500617408e-05,8.498782544599223e-05
120505,0.2780371726678407,2.4747149447193047e-05,0.00010801515007888781
120506,0.16853478101361988,-8.300929427502832e-06,1.9496972270853086e-05
120507,0.0671391149081536,4.452664267581461e-07,5.3314385029364184e-05
120841,0.12411464531483622,1.2608096561681852e-05,5.7558208379624706e-05
120842,0.07462241615664693,6.7361344814467775e-06,9.300711047387701e-06
120843,0.26049457475493104,2.0462124171287586e-05,0.00010888274625085323
120844,0.06435624477439322,2.407895822930271e-07,1.4435945729967619e-05
125497,0.16939560707019155,1.5935140549618313e-05,7.745710014238778e-05
125498,0.11058242102016728,1.632505679620476e-05,5.19357213955358e-05
148567,0.2786926441470637,-1.4314913574045936e-05,6.676142627285936e-05
148568,0.21275691831391869,-8.583474703407673e-06,2.0313497811511292e-05
148569,0.2956420586956535,-2.164322277498743e-05,9.842717060524498e-05
149322,0.14023851298804746,-1.5004522613439855e-05,7.172166405596659e-05
149323,0.26000745793793667,9.801768041790218e-06,2.0023577501295413e-05
149324,0.29577989490562984,8.468853913556082e-06,7.6292442461633515e-06
