amfi_code,annual_return,annual_volatility,sharpe_ratio
100016,0.02541247901048216,0.14541804153796264,-0.2722325274830715
100025,0.04294835392229612,0.03903553864408501,-0.5649120479357169
100033,0.288993836391954,0.1892853601430325,1.1833658779669711
101206,0.22604787284802064,0.1456192653785877,1.1059516914147378
101207,0.0764325841063862,0.2578610143969229,0.04433622559472344
101208,0.06268273663284596,0.005063429705109424,-0.4576469906979711
102885,0.1752390203326455,0.12831079990936728,0.8591562082888825
102886,0.011294595778254202,0.18126683847918612,-0.29627815364536464
102887,0.1619032513637504,0.15751536967014654,0.6151987045243636
118632,0.23093815872660395,0.14142252141692568,1.1733503056235581
118633,0.1564676305725088,0.13991151027341928,0.6537534359664905
118634,0.157419399448387,0.25230556142601773,0.36629949385989524
118635,0.15342786568778077,0.12977538321704715,0.6813916745665597
118636,0.051212843709653955,0.03983814597433951,-0.3460792653158762
119092,0.061326014690693764,0.13944595176875407,-0.026347020208940013
119093,0.07603638678360958,0.13977217813251608,0.07895982541780332
119094,0.2707596943667474,0.19398729900994247,1.06068642337353
119095,0.014665053142179474,0.25055671314126865,-0.200892429609103
119120,0.05672188795479505,0.03965349332846575,-0.20876123010484954
119551,0.24772561617940347,0.13735520150396863,1.3303144997688634
119552,0.20677048374276574,0.13933348910081653,1.0174903726137647
119598,0.31095664237374465,0.2512969893365405,0.9787488621455629
119599,0.019800322421029692,0.24939267218379568,-0.1812389962510982
120503,0.18053766771897028,0.13878432650561803,0.8324979529607998
120504,0.22372037579731052,0.14357582885830125,1.1054811736727344
120505,0.31481115319404385,0.1928262954220128,1.2955243093132915
120506,0.16424007349245318,0.15223917627330052,0.6518694853832951
120507,0.06968969623014054,0.0049385660641362026,0.949606863457198
120841,0.13016300746880716,0.1345795779151354,0.4841968482758828
120842,0.06453456071586605,0.1788693218836538,-0.0026021191293870796
120843,0.2964834751553431,0.1588015235943655,1.4576905177977555
120844,0.06659029175819398,0.0051323369078933034,0.30985724178554536
125497,0.1827650594875816,0.1466251966214257,0.8031706841740262
125498,0.10874958686293246,0.18344455668681814,0.23848942510528134
148567,0.29711989696021424,0.14187617887092913,1.6360737849542994
148568,0.21627249243586077,0.15422477208118665,0.9808572928623183
148569,0.3064321514596309,0.1766639233963917,1.3666183045075633
149322,0.12882957123241034,0.14347633046919045,0.4448787547303272
149323,0.2838164635295932,0.17738504053054147,1.2335677398451097
149324,0.30965765802578704,0.2482945609095239,0.9853524665606264
