amfi_code,annual_return,downside_std,sortino_ratio
100016,0.02541247901048216,0.08351285215186827,-0.4740290861761956
100025,0.04294835392229612,0.023514487863530102,-0.9377897662787279
100033,0.288993836391954,0.11322875898057064,1.9782415563734117
101206,0.22604787284802064,0.08315720784547667,1.936667632555448
101207,0.0764325841063862,0.15168286200797332,0.07537162705820542
101208,0.06268273663284596,0.002457015451947292,-0.9431212023178409
102885,0.1752390203326455,0.07305491141338037,1.5089884882463174
102886,0.011294595778254202,0.1075008422459035,-0.4995812414092256
102887,0.1619032513637504,0.0896674021955674,1.080696540671507
118632,0.23093815872660395,0.08271674998912054,2.00610104662513
118633,0.1564676305725088,0.07822690620034221,1.1692604886898703
118634,0.157419399448387,0.151728343665055,0.6091109756816807
118635,0.15342786568778077,0.07585343266171603,1.1657727618226985
118636,0.051212843709653955,0.023167111549037434,-0.5951176201298555
119092,0.061326014690693764,0.08168850530540543,-0.044975548219060454
119093,0.07603638678360958,0.08197854923650978,0.1346252999887736
119094,0.2707596943667474,0.11370357218085252,1.8096150404094073
119095,0.014665053142179474,0.1485656520696213,-0.33880608442543914
119120,0.05672188795479505,0.02385661882671398,-0.34699435428524994
119551,0.24772561617940347,0.07757590272698998,2.355442988816553
119552,0.20677048374276574,0.08254632509603792,1.7174657209491024
119598,0.31095664237374465,0.14185734802451813,1.7338308222936352
119599,0.019800322421029692,0.15116589359593166,-0.29900711399748425
120503,0.18053766771897028,0.08280923066063355,1.3952269185118202
120504,0.22372037579731052,0.08167518008136894,1.9433122233606985
120505,0.31481115319404385,0.11217995669684916,2.2268786737823763
120506,0.16424007349245318,0.09017978330852094,1.1004691944416785
120507,0.06968969623014054,0.002327140813806355,2.015218074608001
120841,0.13016300746880716,0.07715031298268794,0.8446240196514735
120842,0.06453456071586605,0.10906710855119689,-0.004267457809385952
120843,0.2964834751553431,0.08780631873642598,2.636296322252187
120844,0.06659029175819398,0.0024267398555812268,0.6553202456111983
125497,0.1827650594875816,0.08552176122236875,1.3770186418562602
125498,0.10874958686293246,0.10842807119958987,0.40348948735240375
148567,0.29711989696021424,0.08616799887021051,2.69380628543831
148568,0.21627249243586077,0.0875326918784935,1.728182798786152
148569,0.3064321514596309,0.10166295570138449,2.374829157719865
149322,0.12882957123241034,0.0873963545482277,0.7303459230348955
149323,0.2838164635295932,0.1071452373317657,2.04224162434815
149324,0.30965765802578704,0.14565515733818332,1.6797047388973596
