amfi_code,CAGR,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
148567,0.3400091602163293,1.6360737849542994,0.2786926441470637,1.46,-0.1126572907502827,2.0,1.0,4.0,23.0,8.0,100.0
120505,0.317775371512347,1.2955243093132915,0.2780371726678407,1.36,-0.1818851357211629,5.0,5.0,5.0,15.0,25.0,91.22362869198312
120843,0.2958277033726251,1.4576905177977555,0.260494574754931,1.45,-0.1297396816518679,7.0,2.0,7.0,22.0,13.0,90.88607594936707
100033,0.3244245942195611,1.1833658779669711,0.2649372949625505,1.38,-0.1621720857464484,4.0,7.0,6.0,17.0,20.0,90.54852320675106
120504,0.3248742855621496,1.1054811736727344,0.202780323370029,0.8,-0.1258827560692251,3.0,10.0,14.0,12.0,12.0,88.86075949367088
119094,0.3511180209642852,1.06068642337353,0.2546707841601633,1.38,-0.2096088386203919,1.0,11.0,9.0,17.0,28.0,85.48523206751055
119551,0.3045652442030289,1.3303144997688634,0.221973874507281,1.54,-0.1501238549864533,6.0,4.0,10.0,30.5,17.0,82.53164556962025
148569,0.2917890157839378,1.3666183045075633,0.2956420586956535,1.6,-0.1639674294693263,8.0,3.0,2.0,36.5,21.0,82.36286919831224
101206,0.2896769452874166,1.1059516914147378,0.2083062249422226,1.6,-0.1129159632932307,9.0,9.0,13.0,36.5,9.0,72.9113924050633
149324,0.2700042661451924,0.9853524665606264,0.2957798949056298,1.52,-0.3117190030063421,10.0,13.0,1.0,26.5,37.0,72.23628691983123
149323,0.268699908289022,1.2335677398451097,0.2600074579379366,1.61,-0.1724810575345138,11.0,6.0,8.0,38.0,22.0,71.64556962025317
118632,0.2265235983009863,1.173350305623558,0.217074688414364,1.51,-0.1741407508665723,14.0,8.0,11.0,24.5,23.0,71.39240506329114
119552,0.1626737229462491,1.0174903726137647,0.1916956084921174,0.66,-0.1180349350276429,23.0,12.0,15.0,4.0,11.0,70.63291139240506
119598,0.2666992200118774,0.9787488621455628,0.2949199731145985,1.43,-0.2870600572176455,12.0,15.0,3.0,21.0,36.0,70.29535864978902
118633,0.2108997654925684,0.6537534359664905,0.1593865625552018,0.72,-0.1862974313859551,15.0,21.0,20.0,5.5,26.0,61.940928270042185
118635,0.2000820838047148,0.6813916745665597,0.1523384004678435,0.89,-0.1165062450540909,17.0,20.0,22.0,13.0,10.0,61.0126582278481
