amfi_code,date,nav,daily_return,annualised_return
100016,2022-01-03,520.4608,0.0,0.025412479010476385
100016,2022-01-04,515.0971,-0.010305675278522441,0.025412479010476385
100016,2022-01-05,521.7239,0.012865147173222402,0.025412479010476385
100016,2022-01-06,515.788,-0.011377473794089044,0.025412479010476385
100016,2022-01-07,515.1639,-0.001209993253041941,0.025412479010476385
100016,2022-01-10,510.7136,-0.008638609964712218,0.025412479010476385
100016,2022-01-11,513.5542,0.005562021453902943,0.025412479010476385
100016,2022-01-12,512.3195,-0.00240422529890727,0.025412479010476385
100016,2022-01-13,510.2445,-0.00405020695093572,0.025412479010476385
100016,2022-01-14,514.3636,0.00807279647306336,0.025412479010476385
100016,2022-01-17,514.7627,0.0007759102704778531,0.025412479010476385
100016,2022-01-18,517.3803,0.005085061524465528,0.025412479010476385
100016,2022-01-19,513.1866,-0.008105642986406814,0.025412479010476385
100016,2022-01-20,507.1294,-0.011803114110929713,0.025412479010476385
100016,2022-01-21,507.871,0.0014623486628857485,0.025412479010476385
100016,2022-01-24,506.7062,-0.0022934957892849495,0.025412479010476385
100016,2022-01-25,509.7762,0.006058737785328061,0.025412479010476385
100016,2022-01-26,509.68,-0.00018871026148337133,0.025412479010476385
100016,2022-01-27,510.8661,0.002327146444828232,0.025412479010476385
100016,2022-01-28,503.8641,-0.013706135521617147,0.025412479010476385
100016,2022-01-31,512.5903,0.01731855871454213,0.025412479010476385
100016,2022-02-01,512.1124,-0.0009323235340191749,0.025412479010476385
100016,2022-02-02,515.5386,0.006690328138900803,0.025412479010476385
100016,2022-02-03,512.0153,-0.0068342118320527945,0.025412479010476385
100016,2022-02-04,513.6729,0.0032374032572854983,0.025412479010476385
100016,2022-02-07,508.0666,-0.010914144000978121,0.025412479010476385
100016,2022-02-08,510.3595,0.004512991013382983,0.025412479010476385
100016,2022-02-09,509.0223,-0.0026201138609157626,0.025412479010476385
100016,2022-02-10,509.4161,0.0007736399760875923,0.025412479010476385
100016,2022-02-11,512.826,0.006693742109839196,0.025412479010476385
100016,2022-02-14,507.5435,-0.010300764781816851,0.025412479010476385
100016,2022-02-15,504.7492,-0.005505537948964023,0.025412479010476385
100016,2022-02-16,507.0506,0.004559492120046915,0.025412479010476385
100016,2022-02-17,516.7872,0.019202422795673746,0.025412479010476385
100016,2022-02-18,516.4246,-0.0007016427651457269,0.025412479010476385
